District,Year,SO2,NO2,PM10,PM2.5,Diphtheria
Nandurbar,2024,20.27,36.59,71.64,62.79,1
Nandurbar,2025,20.67,42.34,74.91,45.33,0
Nashik,2000,21.41,7.91,48.56,35.47,0
Nashik,2001,20.39,24.76,55.66,30.8,1
Nashik,2002,19.24,19.86,42.27,31.47,0
Nashik,2003,17.98,31.77,51.56,27.24,0
Nashik,2004,9.93,27.73,60.7,39.26,0
Nashik,2005,8.77,17.37,21.96,39.23,0
Nashik,2006,21.67,17.72,70.47,25.33,1
Nashik,2007,24.23,24.3,44.05,37.46,0
Nashik,2008,10.35,23.38,43.68,41.16,1
Nashik,2009,19.82,38.79,55.88,40.85,1
Nashik,2010,18.0,23.88,72.26,42.11,0
Nashik,2011,19.84,21.66,64.74,30.89,1
Nashik,2012,12.73,28.07,69.18,41.71,0
Nashik,2013,17.36,34.79,63.25,58.46,0
Nashik,2014,27.03,31.15,70.05,51.35,0
Nashik,2015,20.67,21.46,75.32,31.72,0
Nashik,2016,18.93,31.95,70.72,48.75,0
Nashik,2017,18.25,29.25,77.49,30.13,0
Nashik,2018,24.97,24.85,36.8,40.9,0
Nashik,2019,21.49,31.37,83.54,44.3,0
Nashik,2020,13.89,31.32,76.12,36.25,0
Nashik,2021,23.01,36.1,69.65,38.22,0
Nashik,2022,15.93,28.67,81.9,47.68,1
Nashik,2023,26.5,30.94,95.07,47.58,1
Nashik,2024,30.22,28.99,75.4,53.79,1
Nashik,2025,26.76,22.21,81.17,70.13,0
Osmanabad,2000,24.97,21.62,51.44,18.51,0
Osmanabad,2001,13.88,24.12,55.38,33.78,0
Osmanabad,2002,12.27,14.58,62.92,17.39,0
Osmanabad,2003,11.92,20.65,50.08,29.06,1
Osmanabad,2004,8.2,19.97,60.07,35.84,1
Osmanabad,2005,21.25,18.03,45.2,26.43,1
Osmanabad,2006,17.41,24.88,66.93,35.7,0
Osmanabad,2007,19.5,24.22,64.84,26.6,0
Osmanabad,2008,18.98,28.4,43.24,41.62,0
Osmanabad,2009,17.07,26.96,76.9,32.87,1
Osmanabad,2010,10.0,29.54,51.16,40.16,0
Osmanabad,2011,21.72,31.76,49.58,50.89,0
Osmanabad,2012,17.24,25.83,73.63,41.74,1
Osmanabad,2013,11.82,19.71,67.76,44.57,1
Osmanabad,2014,22.75,37.94,68.42,44.08,0
Osmanabad,2015,13.51,30.28,76.86,39.57,0
Osmanabad,2016,24.5,30.12,76.08,51.58,1
Osmanabad,2017,22.82,18.98,57.96,27.85,0
Osmanabad,2018,16.14,23.35,69.93,40.42,0
Osmanabad,2019,21.71,27.46,49.48,49.63,0
Osmanabad,2020,14.55,32.18,77.95,52.05,0
Osmanabad,2021,27.93,29.94,68.18,49.78,1
Osmanabad,2022,22.26,24.95,82.47,56.08,1
Osmanabad,2023,27.17,38.44,60.71,43.45,1
Osmanabad,2024,25.03,29.87,84.94,66.19,1
Osmanabad,2025,28.21,24.34,84.74,39.34,0
Palghar,2000,16.29,23.24,39.46,43.16,0
Palghar,2001,16.02,16.67,49.24,19.77,0
Palghar,2002,10.45,17.38,46.52,33.96,0
Palghar,2003,16.04,24.34,44.66,40.05,0
Palghar,2004,12.17,21.82,46.99,31.6,0
Palghar,2005,22.03,19.86,49.43,26.92,0
Palghar,2006,17.98,35.06,45.71,27.64,1
Palghar,2007,10.9,19.01,61.14,25.42,1
Palghar,2008,7.39,28.55,47.97,30.19,0
Palghar,2009,18.1,21.63,36.54,35.24,0
Palghar,2010,19.37,21.78,41.99,49.29,1
Palghar,2011,11.6,24.03,69.83,37.58,0
Palghar,2012,20.36,22.8,78.0,45.33,0
Palghar,2013,14.67,26.66,47.05,43.28,0
Palghar,2014,19.4,24.19,60.23,38.61,1
Palghar,2015,18.92,19.24,75.68,42.98,1
Palghar,2016,26.42,34.58,60.95,41.61,0
Palghar,2017,26.48,32.06,78.55,60.03,0
Palghar,2018,19.73,22.35,74.05,47.77,0
Palghar,2019,22.08,31.11,78.16,44.38,0
Palghar,2020,21.25,33.58,69.0,51.42,1
Palghar,2021,18.51,25.13,68.9,50.75,0
Palghar,2022,20.68,37.98,88.41,44.18,1
Palghar,2023,25.61,37.06,61.73,53.34,1
Palghar,2024,23.06,41.16,75.2,38.91,1
Palghar,2025,22.77,24.5,72.19,55.87,0
Parbhani,2000,14.64,6.05,60.97,39.72,0
Parbhani,2001,14.34,19.25,38.89,36.32,1
Parbhani,2002,6.87,31.47,75.23,29.12,0
Parbhani,2003,24.62,22.99,68.24,43.21,0
Parbhani,2004,10.74,19.84,58.06,33.36,1
Parbhani,2005,17.58,15.73,60.54,39.16,0
Parbhani,2006,19.95,20.35,60.37,29.55,0
Parbhani,2007,14.45,25.6,64.78,49.1,1
Parbhani,2008,17.68,23.26,54.98,36.72,0
Parbhani,2009,14.96,34.84,66.53,52.37,1
Parbhani,2010,11.16,24.71,60.31,45.99,0
Parbhani,2011,11.42,19.0,69.01,46.03,0
Parbhani,2012,24.72,27.19,51.76,53.51,0
Parbhani,2013,22.54,23.34,63.11,30.42,1
Parbhani,2014,14.49,13.69,82.87,40.11,1
Parbhani,2015,21.44,37.14,78.98,46.2,0
Parbhani,2016,15.91,26.31,64.4,45.97,1
Parbhani,2017,21.59,33.83,71.94,55.17,1
Parbhani,2018,22.05,19.94,88.67,40.6,0
Parbhani,2019,20.74,26.81,68.35,42.89,0
Parbhani,2020,21.4,29.73,65.75,55.65,0
Parbhani,2021,21.72,37.64,84.56,37.87,0
Parbhani,2022,22.53,31.64,65.81,46.2,1
Parbhani,2023,23.59,25.94,78.53,49.23,0
Parbhani,2024,21.61,36.14,84.42,40.99,1
Parbhani,2025,26.3,39.08,94.55,54.4,0
Pune,2000,15.89,28.99,50.17,27.56,0
Pune,2001,6.13,23.27,50.0,27.97,0
Pune,2002,18.24,32.44,48.74,51.02,0
Pune,2003,11.55,17.68,49.51,34.78,1
Pune,2004,21.5,19.67,54.34,24.51,0
Pune,2005,10.15,29.79,57.43,46.68,1
Pune,2006,10.16,22.35,55.67,31.47,1
Pune,2007,9.06,26.68,57.7,44.01,0
Pune,2008,23.16,21.83,65.52,42.24,0
Pune,2009,14.28,23.87,69.26,48.5,0
Pune,2010,19.13,18.65,71.67,48.82,0
Pune,2011,24.44,18.27,52.51,34.8,1
Pune,2012,17.42,15.56,63.4,26.51,0
Pune,2013,26.86,42.01,60.2,44.09,1
Pune,2014,11.62,21.77,58.67,39.22,1
Pune,2015,22.37,21.97,56.67,43.17,0
Pune,2016,22.65,21.43,58.62,34.99,0
Pune,2017,26.38,21.46,79.29,41.64,1
Pune,2018,22.1,29.03,69.1,45.36,1
Pune,2019,22.43,28.64,79.83,50.99,1
Pune,2020,25.19,37.16,77.95,43.46,0
Pune,2021,29.05,36.91,61.6,53.79,1
Pune,2022,28.78,37.23,85.95,42.94,1
Pune,2023,28.76,31.6,73.17,52.95,1
Pune,2024,24.68,32.81,79.33,58.43,0
Pune,2025,26.95,33.41,76.95,51.76,0
Raigad,2000,14.77,24.39,42.78,17.2,0
Raigad,2001,9.99,20.18,42.16,29.5,0
Raigad,2002,16.76,23.75,41.69,29.54,0
Raigad,2003,6.62,14.97,46.57,23.34,0
Raigad,2004,20.7,22.53,55.56,31.2,0
Raigad,2005,20.74,25.29,45.29,40.07,0
Raigad,2006,17.95,26.67,61.56,37.78,0
Raigad,2007,21.33,10.54,55.4,32.91,0
Raigad,2008,15.43,30.32,80.38,45.07,0
Raigad,2009,13.8,37.89,53.12,38.45,0
Raigad,2010,10.14,17.48,59.52,34.31,0
Raigad,2011,15.72,24.13,48.73,41.36,0
Raigad,2012,24.83,30.02,59.71,43.36,0
Raigad,2013,17.55,33.73,79.7,44.15,1
Raigad,2014,17.8,30.66,77.14,33.34,0
Raigad,2015,19.4,27.75,63.11,30.68,1
Raigad,2016,5.66,26.29,76.39,42.13,1
Raigad,2017,21.69,22.33,74.43,54.71,1
Raigad,2018,22.03,35.88,77.06,34.61,0
Raigad,2019,21.13,37.53,71.34,39.36,0
Raigad,2020,14.53,20.74,87.35,36.43,0
Raigad,2021,20.82,26.61,79.88,35.62,0
Raigad,2022,25.54,34.03,76.73,49.72,0
Raigad,2023,17.39,34.29,80.36,40.66,1
Raigad,2024,26.97,24.38,95.61,40.03,1
Raigad,2025,25.71,39.18,70.59,49.66,1
Ratnagiri,2000,17.48,27.48,28.95,29.72,0
Ratnagiri,2001,9.61,15.25,37.66,46.28,1
Ratnagiri,2002,13.75,15.17,73.75,23.04,0
Ratnagiri,2003,8.05,16.09,48.05,31.52,0
Ratnagiri,2004,14.18,17.14,41.46,41.13,0
Ratnagiri,2005,18.85,40.74,43.7,34.34,0
Ratnagiri,2006,10.08,26.72,43.13,23.26,0
Ratnagiri,2007,10.97,26.76,50.1,51.61,1
Ratnagiri,2008,19.49,13.18,62.05,43.38,1
Ratnagiri,2009,21.37,33.43,63.27,36.23,0
Ratnagiri,2010,28.14,31.68,64.6,24.59,0
Ratnagiri,2011,19.93,29.5,70.47,39.11,1
Ratnagiri,2012,17.2,27.37,71.45,27.95,0
Ratnagiri,2013,23.68,30.92,53.73,38.12,0
Ratnagiri,2014,14.86,26.92,56.32,52.73,0
Ratnagiri,2015,17.66,35.25,70.88,27.3,0
Ratnagiri,2016,10.73,24.3,44.86,39.29,1
Ratnagiri,2017,16.13,27.99,46.26,40.19,0
Ratnagiri,2018,35.04,30.48,62.35,48.52,1
Ratnagiri,2019,19.31,29.64,54.05,55.0,0
Ratnagiri,2020,17.39,33.48,71.89,38.13,0
Ratnagiri,2021,24.54,40.67,68.11,46.91,1
Ratnagiri,2022,20.18,20.11,76.21,57.11,0
Ratnagiri,2023,22.91,35.55,73.73,41.76,0
Ratnagiri,2024,19.88,32.76,64.25,49.48,1
Ratnagiri,2025,17.49,22.77,79.96,51.66,0
Sangli,2000,14.93,15.43,56.99,29.37,0
Sangli,2001,12.85,15.38,33.23,20.16,0
Sangli,2002,14.75,27.14,33.47,41.85,0
Sangli,2003,14.04,32.44,62.83,27.11,0
Sangli,2004,14.84,29.36,67.85,45.38,0
Sangli,2005,23.68,18.73,59.1,21.11,0
Sangli,2006,19.57,22.08,54.83,23.03,1
Sangli,2007,7.79,20.95,82.31,38.08,0
Sangli,2008,10.43,16.19,79.5,29.83,0
Sangli,2009,12.69,20.42,77.3,37.95,0
Sangli,2010,19.5,27.54,59.74,31.33,1
Sangli,2011,22.05,15.8,52.05,28.63,1
Sangli,2012,19.12,22.65,65.96,52.18,1
Sangli,2013,11.24,33.92,70.15,47.16,1
Sangli,2014,14.23,27.53,56.75,47.85,0
Sangli,2015,21.41,33.56,85.37,36.07,0
Sangli,2016,11.75,29.59,83.3,43.52,1
Sangli,2017,6.35,34.62,61.36,44.31,0
Sangli,2018,21.36,36.0,72.34,51.96,1
Sangli,2019,19.22,22.83,73.47,43.87,0
Sangli,2020,24.3,27.02,87.59,39.97,1
Sangli,2021,29.58,29.58,75.52,53.23,0
Sangli,2022,22.79,31.09,50.47,53.35,0
Sangli,2023,16.1,38.33,75.68,42.63,0
Sangli,2024,17.17,31.28,76.11,54.66,0
Sangli,2025,21.65,39.31,89.05,52.34,1
Satara,2000,16.13,24.02,40.36,24.05,0
Satara,2001,11.59,26.49,65.66,32.61,0
Satara,2002,12.44,30.91,52.39,18.98,1
Satara,2003,11.87,35.26,71.15,31.07,1
Satara,2004,14.63,19.9,51.48,24.91,0
Satara,2005,16.35,24.82,31.04,24.33,0
Satara,2006,19.56,26.67,54.89,28.0,0
Satara,2007,15.16,19.54,56.19,40.34,0
Satara,2008,15.7,29.52,44.11,27.1,0
Satara,2009,12.37,19.22,48.78,35.2,0
Satara,2010,20.75,26.89,43.71,35.14,0
Satara,2011,18.96,18.94,70.35,50.05,0
Satara,2012,10.04,28.05,61.57,31.41,0
Satara,2013,16.25,23.98,75.8,27.28,0
Satara,2014,26.07,27.02,64.62,56.99,0
Satara,2015,21.01,33.91,54.34,33.03,0
Satara,2016,19.56,22.9,52.12,57.21,0
Satara,2017,22.71,34.09,68.16,42.01,1
Satara,2018,20.42,26.63,73.63,51.1,0
Satara,2019,23.54,39.03,58.45,45.18,1
Satara,2020,32.49,29.35,66.18,49.53,0
Satara,2021,14.5,31.21,91.37,47.43,1
Satara,2022,20.55,23.25,66.25,54.3,1
Satara,2023,26.11,35.45,72.95,45.38,0
Satara,2024,24.25,29.89,97.42,54.01,0
Satara,2025,24.74,34.64,73.37,34.69,1
Sindhudurg,2000,19.1,14.46,56.06,28.85,0
Sindhudurg,2001,14.11,17.11,50.62,24.71,0
Sindhudurg,2002,15.82,26.69,69.51,31.89,1
Sindhudurg,2003,17.89,21.82,43.13,31.47,0
Sindhudurg,2004,14.7,20.25,63.56,51.47,0
Sindhudurg,2005,2.18,31.99,60.59,34.95,0
Sindhudurg,2006,21.51,27.54,63.8,31.67,0
Sindhudurg,2007,12.73,20.8,58.7,44.05,0
Sindhudurg,2008,6.83,23.49,76.53,42.26,0
Sindhudurg,2009,14.2,28.28,68.48,40.27,1
Sindhudurg,2010,22.57,25.39,57.13,36.04,1
Sindhudurg,2011,29.55,22.69,57.08,37.75,0
Sindhudurg,2012,21.81,24.45,61.74,44.57,0
Sindhudurg,2013,18.19,17.93,61.41,36.75,1
Sindhudurg,2014,18.6,28.76,60.13,31.84,1
Sindhudurg,2015,19.45,24.36,86.69,30.54,0
Sindhudurg,2016,14.36,32.39,79.82,41.9,1
Sindhudurg,2017,24.05,29.12,79.18,57.71,0
Sindhudurg,2018,13.68,29.51,77.0,39.45,1
Sindhudurg,2019,21.04,29.39,78.37,46.01,0
Sindhudurg,2020,28.12,36.41,66.38,39.01,0
Sindhudurg,2021,17.13,35.33,74.61,31.23,1
Sindhudurg,2022,34.65,24.93,90.82,47.33,0
Sindhudurg,2023,14.87,36.48,78.38,64.01,1
Sindhudurg,2024,25.64,33.44,80.72,42.15,1
Sindhudurg,2025,13.05,24.55,83.64,52.24,0
Solapur,2000,18.36,29.83,45.55,32.19,1
Solapur,2001,10.32,21.81,58.86,37.91,0
Solapur,2002,11.92,24.02,59.39,38.7,0
Solapur,2003,24.66,17.88,70.28,32.88,1
Solapur,2004,6.94,28.3,48.31,23.76,0
Solapur,2005,22.6,22.81,35.17,56.1,1
Solapur,2006,16.41,32.82,52.14,42.0,0
Solapur,2007,13.1,27.37,65.08,36.0,0
Solapur,2008,16.4,28.28,53.72,33.56,0
Solapur,2009,21.55,16.53,60.06,38.84,0
Solapur,2010,13.56,24.35,66.17,43.7,0
Solapur,2011,26.98,30.11,68.92,45.51,0
Solapur,2012,15.6,28.24,76.95,43.2,1
Solapur,2013,16.71,20.95,79.49,48.54,0
Solapur,2014,19.34,27.87,59.74,53.31,0
Solapur,2015,20.03,26.83,66.99,42.86,0
Solapur,2016,15.11,24.74,62.52,46.12,0
Solapur,2017,24.11,26.77,68.23,51.54,0
Solapur,2018,23.63,24.16,57.51,49.66,1
Solapur,2019,14.72,27.21,82.0,48.92,1
Solapur,2020,11.82,31.52,89.5,40.58,0
Solapur,2021,16.93,22.16,92.07,44.4,1
Solapur,2022,10.42,32.78,81.89,43.51,0
Solapur,2023,17.9,39.11,93.81,55.84,1
Solapur,2024,15.16,25.62,90.61,48.01,1
Solapur,2025,21.17,39.55,57.9,64.22,0
Thane,2000,6.99,23.49,52.04,33.15,0
Thane,2001,13.0,25.77,45.92,28.17,0
Thane,2002,10.57,20.13,62.45,16.71,0
Thane,2003,9.28,15.46,57.86,36.49,0
Thane,2004,22.33,19.75,45.36,19.03,1
Thane,2005,19.55,29.46,27.48,29.31,1
Thane,2006,17.49,23.2,48.33,22.96,0
Thane,2007,8.74,21.8,80.53,32.57,0
Thane,2008,14.75,21.81,71.55,37.31,0
Thane,2009,9.78,25.59,62.62,26.74,0
Thane,2010,26.28,12.25,58.75,59.96,0
Thane,2011,17.77,12.57,67.18,27.34,0
Thane,2012,20.54,23.62,84.04,40.19,1
Thane,2013,13.36,26.12,83.46,43.7,0
Thane,2014,29.78,30.64,64.7,30.85,1
Thane,2015,18.31,31.69,84.18,48.64,1
Thane,2016,12.93,27.21,60.3,49.63,0
Thane,2017,24.86,25.61,58.08,48.85,0
Thane,2018,14.56,34.11,86.58,23.51,0
Thane,2019,18.7,31.73,80.35,42.93,1
Thane,2020,18.94,21.41,75.93,45.15,0
Thane,2021,17.73,26.21,75.56,44.94,0
Thane,2022,25.32,26.7,77.47,47.89,1
Thane,2023,23.16,37.87,86.17,63.8,0
Thane,2024,10.27,21.24,71.91,36.23,0
Thane,2025,17.64,44.82,71.8,45.03,0
Wardha,2000,15.65,18.54,47.57,24.18,0
Wardha,2001,23.1,13.72,66.1,15.31,1
Wardha,2002,13.33,14.1,47.85,39.62,0
Wardha,2003,16.09,28.04,56.0,35.54,0
Wardha,2004,14.6,22.88,46.9,37.81,0
Wardha,2005,15.75,19.83,41.33,34.69,0
Wardha,2006,25.56,27.11,54.14,43.19,0
Wardha,2007,16.66,25.62,67.8,37.39,0
Wardha,2008,12.54,29.73,43.37,43.5,0
Wardha,2009,12.46,20.43,70.38,33.44,1
Wardha,2010,12.19,34.71,52.99,46.05,0
Wardha,2011,5.65,32.68,42.67,39.11,0
Wardha,2012,11.63,31.47,63.65,54.68,1
Wardha,2013,18.79,34.39,60.08,40.86,1
Wardha,2014,11.17,30.23,76.86,59.38,1
Wardha,2015,13.68,32.36,62.12,42.95,0
Wardha,2016,14.61,23.86,62.7,35.53,1
Wardha,2017,19.79,12.55,69.42,45.76,0
Wardha,2018,17.91,32.04,65.52,28.62,1
Wardha,2019,24.97,24.16,70.62,40.13,0
Wardha,2020,26.31,28.59,63.91,39.5,0
Wardha,2021,25.12,24.2,79.07,49.19,0
Wardha,2022,16.5,27.26,71.52,54.89,0
Wardha,2023,11.16,24.11,56.13,68.8,1
Wardha,2024,17.37,29.57,66.75,36.08,0
Wardha,2025,24.07,29.13,91.86,57.67,0
Washim,2000,10.51,25.28,56.81,32.38,1
Washim,2001,14.95,23.32,55.66,35.52,0
Washim,2002,16.52,13.4,48.02,36.77,1
Washim,2003,10.19,12.86,42.94,33.54,0
Washim,2004,20.31,19.11,65.99,32.38,1
Washim,2005,17.94,23.16,65.48,34.61,0
Washim,2006,28.96,8.4,63.59,28.41,1
Washim,2007,7.33,32.12,71.44,35.77,0
Washim,2008,24.36,21.0,44.11,25.1,1
Washim,2009,25.24,21.03,68.89,40.27,0
Washim,2010,15.3,22.94,65.98,51.0,0
Washim,2011,14.73,27.78,70.04,37.37,0
Washim,2012,20.43,20.6,64.27,45.25,0
Washim,2013,22.28,21.94,72.49,38.1,0
Washim,2014,31.72,37.97,71.68,49.7,1
Washim,2015,23.14,27.24,71.87,42.47,0
Washim,2016,22.17,20.43,60.52,47.12,0
Washim,2017,20.91,23.3,66.39,48.66,1
Washim,2018,21.99,33.06,63.79,25.24,0
Washim,2019,19.33,25.3,64.18,52.14,1
Washim,2020,26.75,30.48,96.56,44.54,0
Washim,2021,15.41,20.95,85.98,48.61,0
Washim,2022,26.4,34.39,73.98,58.57,1
Washim,2023,22.23,41.57,81.82,65.42,1
Washim,2024,18.38,33.8,77.63,48.75,0
Washim,2025,12.45,31.94,87.3,38.28,0
Yavatmal,2000,13.83,10.57,51.5,30.63,0
Yavatmal,2001,20.11,17.9,58.55,24.47,1
Yavatmal,2002,19.51,10.27,40.33,20.53,1
Yavatmal,2003,12.16,19.32,74.82,26.26,0
Yavatmal,2004,19.02,22.16,59.74,28.97,0
Yavatmal,2005,15.87,27.2,49.31,49.78,1
Yavatmal,2006,18.86,28.24,57.69,28.56,0
Yavatmal,2007,22.37,27.34,59.59,31.74,1
Yavatmal,2008,19.05,23.32,66.55,40.98,0
Yavatmal,2009,13.92,21.6,57.72,30.62,0
Yavatmal,2010,24.86,24.23,68.22,35.21,0
Yavatmal,2011,22.93,21.45,50.54,37.54,0
Yavatmal,2012,22.51,27.85,82.13,36.68,0
Yavatmal,2013,22.72,22.42,55.45,56.88,0
Yavatmal,2014,20.69,18.57,63.01,42.53,0
Yavatmal,2015,12.83,25.64,72.91,36.84,1
Yavatmal,2016,27.56,20.68,93.54,41.98,1
Yavatmal,2017,12.45,19.61,65.74,47.61,0
Yavatmal,2018,20.33,28.16,84.3,31.32,0
Yavatmal,2019,27.05,34.35,88.67,36.02,0
Yavatmal,2020,9.66,25.98,57.6,52.97,0
Yavatmal,2021,21.42,31.73,60.33,57.17,0
Yavatmal,2022,25.73,32.4,86.63,31.48,1
Yavatmal,2023,15.04,27.42,77.74,61.14,1
Yavatmal,2024,20.93,33.89,86.32,56.0,0
Yavatmal,2025,20.55,32.25,77.69,40.67,0
